Sentence,Translation,English Translation,Error,Explanation 
First person voted out of Mimosa tribe D.,La prima persona ha votato fuori dalla tribù Mimosa D.,The first person voted out of the Mimosa D tribe.,,
Need to bring me a torch.,Devo portarmi una torcia.,I have to bring a flashlight.,,
D the tribe has spoken.,D la tribù ha parlato.,D the tribe spoke.,,
It's time for you to go.,E' ora che tu te ne vada.,It's time for you to leave.,,
Day one of Survivor New Zealand and already a massive blind side.,Primo giorno di Sopravvissuto Nuova Zelanda e già un enorme lato cieco.,First day of Surviving New Zealand and already a huge blind side.,,
I did not see that one coming.,Non me l'aspettavo.,I didn't see that coming.,,
"Michael, here's some flint for your fire.","Michael, ecco un po' di pietra focaia per il tuo fuoco.","Michael, here's some flint for your fire.",,
"Oh, dear.","Oh, cielo.","Oh, dear.",,
Head back to camp.,Torna all'accampamento.,Get back to the camp.,,
I'm feeling full stop.,Mi sento completamente ferma.,I feel completely still.,,
I was the first person voted out of Hermosa tribe was associated with being a villain.,Sono stata la prima persona che ha votato fuori dalla tribu' di Hermosa ad essere un cattivo.,I was the first person who voted out of Hermosa's tribe to be a villain.,,
"And I'm not one of the older, mature, mumsy dadsy type, and I'm also not one of the young, beautiful types of.","E non sono uno dei più vecchi, maturo, mamma papà, e non sono anche uno dei giovani, bellissimi tipi di.","And I'm not one of the oldest, mature, mom dad, and I'm not even one of the young, beautiful types of.",,
I'm me.,Sono io.,It's me.,,
I'm Diana.,Sono Diana.,I'm Diana.,,
Bless the world.,Che Dio benedica il mondo.,God bless the world.,,
Okay.,Ok.,Okay.,,
I felt sick.,Mi sentivo male.,I felt sick.,,
I felt so sick.,Mi sentivo cosi' male.,I felt so bad.,,
Just from nerves that whole time.,Solo per i nervi per tutto il tempo.,Just nerves the whole time.,,
And it's going to feel like that every single time.,E sara' cosi' ogni singola volta.,And it's gonna be like this every single time.,,
Yeah.,Si'.,Yeah.,,
Ready?,Pronto?,Hello?,,
"Oh, did it burn through all of it?","Oh, ha bruciato tutto?","Oh, did he burn everything?",,
Are you ready?,Sei pronto?,You ready?,,
Ready?,Pronto?,Hello?,,
Yeah.,Si'.,Yeah.,,
She's away.,E' via.,He's gone.,,
It's away.,Non c'e' piu'.,It's gone.,,
"It's away, it's away.","Non c'e' piu', non c'e' piu'.",He's gone. He's gone.,,
Keep on stop on this.,Continua cosi'.,Keep it up.,,
"Can you just get a stick and hold this over here, mate?","Puoi prendere un bastone e tenerlo qui, amico?","Can you grab a stick and keep it here, man?",,
"Coming back to camp after tribal, the priority was to get a fire going with Morel a bit and also provide a valuable source of light.","Tornando al campo dopo la tribale, la priorità era quella di ottenere un fuoco andando con Morel un po 'e anche fornire una preziosa fonte di luce.","Returning to the camp after the tribal, the priority was to get a fire by going with Morel a little and also providing a precious source of light.",,
Everyone's down cold.,Sono tutti freddi.,They're all cold.,,
Handy.,A portata di mano.,At your fingertips.,,
"You know, she never would have seen it coming.","Sai, non l'avrebbe mai immaginato.","You know, he wouldn't have imagined that.",,
She didn't do anything wrong.,Non ha fatto niente di male.,He didn't do anything wrong.,,
I definitely did not want to break someone that I was actually pretty good friends with.,Sicuramente non volevo distruggere qualcuno con cui ero davvero molto amica.,I certainly didn't want to destroy someone with whom I was very close.,,
I guess the thought of having gone against that.,Immagino che il pensiero di essere andato contro.,I guess the thought of going against it.,,
"Yeah, I mean, not a good feeling.","Si', cioe', non e' una bella sensazione.","Yeah, I mean, it's not a good feeling.",,
I'm good at cooking.,Sono bravo a cucinare.,I'm good at cooking.,,
Right.,Giusto.,Right.,,
Just let us know if you want to swap.,Fateci sapere se volete scambiarvi.,Let us know if you want to switch.,,
I could try.,Potrei provarci.,I could try.,,
"After our first night in the jungle, I have not slept at all.","Dopo la nostra prima notte nella giungla, non ho dormito affatto.","After our first night in the jungle, I didn't sleep at all.",,
I'm a little bit concerned that we have a full day ahead of us and I have no sleep under my belt.,Sono un po' preoccupato che abbiamo una giornata intera davanti a noi e non ho sonno sotto la cintura.,I'm a little worried we have a whole day ahead of us and I'm not sleepy under my belt.,,
"Our shelter is a little bit small, so hoping we can expand on that today.","Il nostro rifugio e' un po' piccolo, quindi speriamo di poterlo ampliare oggi.","Our shelter is a little small, so let's hope we can expand it today.",,
I think if you just lay them so the spine goes on top of the.,Penso che se li metti cosi' la spina dorsale va in cima.,"I think if you put them like that, the spine goes to the top.",,
"The poles, that should.","I poli, dovrebbe.","The poles, it should.",,
That should make the numbers.,Questo dovrebbe fare i numeri.,That should do the numbers.,,
"You know, I don't think we've got room for seven that way.","Sai, non credo che abbiamo spazio per sette in quel modo.","You know, I don't think we have room for seven like that.",,
One's gonna have to lie horizontal.,Uno deve stare in orizzontale.,One has to be horizontal.,,
What am I expecting today is that we'll modify our shelter and then we're going to look to try and put a roof on there.,Quello che mi aspetto oggi è che modificheremo il nostro rifugio e poi cercheremo di metterci un tetto.,What I expect today is that we will change our shelter and then try to put a roof in it.,,
We've got to establish a toilet site and we're going to just keep bringing in that firewood because that fire is pretty important.,Dobbiamo creare un sito di servizi igienici e continueremo a portare la legna da ardere perche' quel fuoco e' piuttosto importante.,"We need to create a toilet site, and we're gonna keep carrying firewood because that fire is pretty important.",,
It's the best thing we've caught.,E' la cosa migliore che abbiamo trovato.,It's the best thing we could find.,,
I'm pretty sure that's like straight up rotten.,Sono abbastanza sicuro che sia marcio.,I'm pretty sure it's rotten.,,
Eh?,Eh?,Huh?,,
You don't want to eat it.,Non vuoi mangiarlo.,You don't want to eat it.,,
"I mean, give it a go, but, like, I just don't.","Cioe', provaci, ma non e' cosi'.","I mean, try it, but it's not.",,
"I'm pretty, like, high maintenance.",Sono piuttosto... ad alta manutenzione.,I'm pretty... high-maintenance.,,
I can't eat disgusting food.,Non posso mangiare cibo disgustoso.,I can't eat disgusting food.,,
"I can do fresh fruit and a push, but definitely not rotten fruit.","Posso fare frutta fresca e una spinta, ma sicuramente non frutta marcia.","I can make fresh fruit and a push, but certainly not rotten fruit.",,
Right.,Giusto.,Right.,,
Should I just pop it and then squeeze the juices out?,Dovrei tirarlo fuori e poi spremere i succhi?,Should I pull it out and then squeeze the juices?,,
That's what I'm going to do.,E' quello che faro'.,That's what I'm gonna do.,,
We still don't know if it's a fruit or a vegetable or if it's a gourd or if it's a something.,Ancora non sappiamo se è un frutto o un ortaggio o se è una zucca o se è qualcosa.,We still don't know if it's a fruit or a vegetable or if it's a pumpkin or if it's something.,,
"It's like a Massive big sist, isn't it?","E' come un grosso sist, vero?","It's like a big sit, isn't it?",,
Diarrhea or something?,Diarrea o qualcosa del genere?,Diarrhea or something?,,
The rotten fruit was such a bad idea.,Il frutto marcio era una pessima idea.,The rotten fruit was a bad idea.,,
I don't know what we were thinking.,Non so a cosa stessimo pensando.,I don't know what we were thinking.,,
"Oh, that's all good.","Oh, va tutto bene.","Oh, it's okay.",,
Could be worse.,Potrebbe andare peggio.,It could be worse.,,
"Yeah, delicious.","Si', delizioso.","Yeah, delicious.",,
"Easily entertained, eh?","Facilmente intrattenuto, eh?","Easily entertained, huh?",,
But I need was weird.,Ma ho bisogno di qualcosa di strano.,But I need something weird.,,
"It tasted nice to begin with, and then all of a sudden it just tasted like rot.","Aveva un buon sapore all'inizio, e poi all'improvviso ha avuto un sapore di marciume.","It tasted good at first, and then suddenly it tasted like rottenness.",,
I don't know why I kept going.,Non so perche' ho continuato.,I don't know why I kept going.,,
I'm just sort of.,E' solo che... piu' o meno.,It's just... kind of.,,
"It was day two, and already I'm that desperate that I'm eating this disgusting rotten fruit just like you're eating it.","Era il secondo giorno, e sono gia' cosi' disperata che sto mangiando questo disgustoso frutto marcio proprio come lo stai mangiando tu.","It was the second day, and I'm already so desperate that I'm eating this disgusting rotten fruit just like you're eating it.",,
A dead body.,Un cadavere.,A corpse.,,
What a bloody animal.,Che maledetto animale.,What a goddamn animal.,,
I'm basically just hoping I don't get incredibly sick at this point.,In pratica spero solo di non ammalarmi incredibilmente a questo punto.,Basically I just hope I don't get incredibly sick at this point.,,
"Hey, Izzy.","Ehi, Izzy.","Hey, Izzy.",,
How you feeling?,Come ti senti?,How are you feeling?,,
Better.,Meglio.,Better.,,
No.,No.,No.,,
"Oh, really?","Oh, davvero?","Oh, really?",,
Izzy doesn't seem to be looking too great.,Izzy non sembra stare molto bene.,Izzy doesn't look very well.,,
So she was throwing up last night.,Stava vomitando ieri sera.,He was throwing up last night.,,
We just need to keep her hydrated.,Dobbiamo solo tenerla idratata.,We just need to keep her hydrated.,,
"Could be a stomach bug, lack of sleep.","Potrebbe essere un insetto allo stomaco, mancanza di sonno.","It could be a bug in the stomach, lack of sleep.",,
"She's a pretty girl, but right now she looks like crap.","E' una ragazza carina, ma in questo momento ha un aspetto di merda.","She's a pretty girl, but she looks like shit right now.",,
Would you want to go home or do you not want to?,Vuoi andare a casa o non vuoi?,Do you want to go home or don't you want to?,,
"I would want to stay, but I feel like it's almost not up to me.","Vorrei restare, ma sento che non dipende da me.","I'd like to stay, but I feel like it's not up to me.",,
Like my body is telling me so.,Come dice il mio corpo.,Like my body says.,,
You don't think you're up to it?,Non pensi di essere all'altezza?,Don't you think you're up to it?,,
I think my body's telling me I'm not up to it.,Credo che il mio corpo mi stia dicendo che non sono all'altezza.,I think my body's telling me I'm not up to it.,,
Of course I don't want Izzy to go home.,Certo che non voglio che Izzy vada a casa.,Of course I don't want Izzy to go home.,,
"She's family, you know, she's part of our team, and we stick together and that's who we are.","E' una di famiglia, fa parte della nostra squadra, e noi restiamo uniti ed e' cio' che siamo.","She's family, she's part of our team, and we stick together, and that's who we are.",,
"You know, we all got up during the night to go check on her and take turns sitting by her side because that's what family does for one another.","Sai, ci siamo svegliati durante la notte per andare a controllarla e fare a turno seduta al suo fianco perche' e' questo che fa la famiglia l'uno per l'altra.","You know, we woke up at night to go check on her and take turns sitting by her side because that's what family does for each other.",,
"The best thing we can do, just keep anything out of someone.",La cosa migliore che possiamo fare e' tenere tutto fuori da qualcuno.,The best thing we can do is keep it out of someone.,,
Give a little bit of encouragement.,Date un po' di incoraggiamento.,Give me some encouragement.,,
You got a bug or something?,Hai un insetto o qualcosa del genere?,Do you have a bug or something?,,
Or possibly psychological.,O forse psicologica.,Or psychological.,,
That's a hard one.,E' difficile.,It's hard.,,
Eh?,Eh?,Huh?,,
It really sucks.,Fa davvero schifo.,It really sucks.,,
"And it's hard because when you're, like, in the throes of a sickness, you can't remember what it's like to be well.","Ed e' difficile perche' quando sei, tipo, in preda a una malattia, non riesci a ricordare com'e' stare bene.","And it's hard because when you're, like, sick, you can't remember what it's like to be okay.",,
"Well, I guess at the end of the day, it's her choice and we got to respect it.","Beh, credo che alla fine della giornata, sia una sua scelta e dobbiamo rispettarla.","Well, I think at the end of the day, it's your choice, and we have to respect it.",,
"Yeah, true.","Si', e' vero.","Yeah, that's right.",,
Izzy's incredibly sick.,Izzy e' incredibilmente malata.,Izzy's incredibly sick.,,
It's hard to kind of trust your mental space when you're feeling that rough.,E' difficile fidarsi del tuo spazio mentale quando ti senti cosi' ruvida.,It's hard to trust your mental space when you feel so rough.,,
I'm sure a huge part of her just wants to call it quits and go home.,Sono sicura che una grossa parte di lei voglia solo smettere e andare a casa.,I'm sure a big part of her just wants to stop and go home.,,
I know that she really wants to play this game as well and that it would have to take a lot for her to throw in the tower.,So che vuole davvero giocare anche a questo gioco e che ci vorrebbe molto per lei da gettare nella torre.,"I know you really want to play this game, too, and it would take a lot for you to throw into the tower.",,
"We really voted off the wrong person, didn't we?","Abbiamo votato contro la persona sbagliata, vero?","We voted against the wrong person, didn't we?",,
"If you want to win in Survivor, you have to take the noxy on the way.","Se vuoi vincere a Survivor, devi prendere il noxy sulla strada.","If you want to win Survivor, you have to take the noxy on the road.",,
Isabelle would probably be looked upon now.,Isabelle sarebbe probabilmente stata esaminata ora.,Isabelle would probably have been examined now.,,
As the weekly you can't even stand up.,Come settimanale non riesci nemmeno a stare in piedi.,"As a weekly, you can't even stand up.",,
"You know, anything could happen in half an hour from now.","Sai, tra mezz'ora potrebbe succedere di tutto.","You know, anything could happen in half an hour.",,
We could have a challenge on and she can't even stand up.,Potremmo avere una sfida e lei non riesce nemmeno ad alzarsi in piedi.,"We could have a challenge, and she can't even stand up.",,
And I know that I did make the wrong decision.,E so di aver preso la decisione sbagliata.,And I know I made the wrong decision.,,
"It should have been Izzy that should have gone, oh, crap.","Avrebbe dovuto essere Izzy ad andarsene, oh, merda.","It was supposed to be Izzy leaving, oh, shit.",,
Challenge invite.,Invito alla sfida.,Invitation to the challenge.,,
"As you've noticed by now, this game is full of surprises.","Come avete notato ormai, questo gioco è pieno di sorprese.","As you've noticed by now, this game is full of surprises.",,
And like a song or a hymn.,E come una canzone o un inno.,It's like a song or an anthem.,,
Expect some reprises.,Aspettatevi delle rappresaglie.,Expect reprisals.,,
But what lies ahead now is not a verse or passage repeated.,Ma quello che c'è davanti ora non è un versetto o un passaggio ripetuto.,But what is before us now is not a verse or a repeated passage.,,
It's an opportunity to reinstate what once was deleted.,E' un'opportunita' per ripristinare cio' che una volta e' stato cancellato.,It's an opportunity to restore what was once erased.,,
"What we probably have, like, little bite to eat.","Quello che probabilmente abbiamo, tipo, un piccolo morso da mangiare.","What we probably have, like, a little bite to eat.",,
Shelter's looking awesome.,Il rifugio e' fantastico.,The shelter is awesome.,,
"I think tonight we'll, like, eat something.",Penso che stasera mangeremo qualcosa.,I think we're gonna eat something tonight.,,
We'll sleep well.,Dormiremo bene.,We'll sleep well.,,
I think we'll kind of really bounce back.,Penso che ci rimbalzeremo un po'.,I think we'll bounce a little.,,
Yeah.,Si'.,Yeah.,,
So is he's feeling a little bit better.,Anche lui si sente un po' meglio.,"He feels a little better, too.",,
"She said to me, even if she pulls through, if it comes to us losing a challenge to dry ball, then she'll talk to us.","Mi ha detto che, anche se ce la fa, se si tratta di perdere una sfida alla palla secca, allora ci parlera'.","He told me that even if he can do it, if it's about losing a challenge to the dry ball, then he'll talk to us.",,
It's just about loading her out so she can go home.,Si tratta solo di caricarla fuori cosi' puo' andare a casa.,It's just loading her out so she can go home.,,
"What will happen to challenge me now knows after day one, anything can happen.","Quello che succedera' per sfidarmi ora sa che dopo il primo giorno, tutto puo' succedere.","What happens to challenge me now knows that after the first day, anything can happen.",,
"Forget about last night, forget about yesterday.","Dimenticati di ieri sera, dimenticati di ieri.","Forget about last night, forget about yesterday.",,
We go in there today and all we want to do is obliterate the opposition.,Oggi entriamo e tutto ciò che vogliamo è cancellare l'opposizione.,Today we enter and all we want is to cancel the opposition.,,
"Come on in, guys.","Entrate, ragazzi.","Come on in, guys.",,
"Take a seat over there, guys.","Sedetevi laggiù, ragazzi.","Sit down over there, guys.",,
Both teams getting a look at the new tribes.,Entrambe le squadre stanno dando un'occhiata alle nuove tribu'.,Both teams are taking a look at the new tribes.,,
Hannah and Dee voted out at last night's Tribal Councils.,Hannah e Dee hanno votato ai Consigli Tribali di ieri sera.,Hannah and Dee voted at Tribal Councils last night.,,
"I can do this one, mate.","Posso farcela, amico.","I can do this, man.",,
"You know you've got to be good at tying tight knock and come on in, guys.","Sai che devi essere bravo a legare forte bussare e entrare, ragazzi.","You know you have to be good at bonding hard and knocking and going in, guys.",,
Feel like absolute.,Mi sento come un'assoluta.,I feel like an absolute.,,
"When I see Hannah walk out, I look straight in the eye, but obviously people are very embarrassed.","Quando vedo Hannah uscire, guardo dritto negli occhi, ma ovviamente le persone sono molto imbarazzate.","When I see Hannah coming out, I look straight in the eye, but obviously people are very embarrassed.",,
Here's a lovely girl you blindsided last night.,Ecco una ragazza adorabile che hai preso alla sprovvista ieri sera.,Here's a lovely girl you caught off guard last night.,,
They look really angry and they should.,Sembrano molto arrabbiati e dovrebbero.,They look very angry and should.,,
"I mean, I'd be just as angry if I was voted off and had to walk in and see my tribe again.","Cioe', sarei arrabbiato anche io se mi votassero e dovessi entrare e rivedere la mia tribu'.","I mean, I'd be mad, too, if they voted for me and had to come in and see my tribe again.",,
Welcome to Redemption Island.,Benvenuti a Redemption Island.,Welcome to Redemption Island.,,
"Oh, God.","Oh, Dio.","Oh, God.",,
"Some of you might have caught on yesterday when I said Hannah and Dee's time in the tribe was up, but I didn't say they were out of this game.","Alcuni di voi si sono accorti ieri quando ho detto che Hannah e Dee erano in tribu', ma non ho detto che erano fuori da questo gioco.","Some of you noticed yesterday when I said Hannah and Dee were in the tribe, but I didn't say they were out of this game.",,
Redemption island offers an opportunity to duel your way back into this competition.,Redemption Island offre l'opportunità di duellare il vostro modo di tornare in questa competizione.,Redemption Island offers the opportunity to duel your way back into this competition.,,
"Tribe members voted out come here to Redemption island to live with whoever's waiting for them before the two duel in this arena, no one saw it coming at all, which definitely doesn't say much for the brain capacity of the people around this tribe.","I membri della tribu' hanno votato per venire qui a Redemption Island per vivere con chiunque li stia aspettando prima dei duello in questa arena, nessuno l'ha visto arrivare, cosa che sicuramente non dice molto per la capacita' cerebrale delle persone intorno a questa tribu'.","The members of the tribe voted to come here to Redemption Island to live with whoever is waiting for them before the duel in this arena, no one saw him arrive, which certainly doesn't say much about the brain capacity of the people around this tribe.",,
Lose the duel and you are gone for good.,Perdi il duello e te ne vai per sempre.,You lose your duel and you leave forever.,,
Win and you lose.,Vincete e perdete.,Win and lose.,,
Live to fight another duel.,Vivi per combattere un altro duello.,Live to fight another duel.,,
Survive an isolated life on the island.,Sopravvivere a una vita isolata sull'isola.,Surviving an isolated life on the island.,,
"Survive your duels and eventually one of you will get an opportunity to re enter this game and another shot at the $100,000 Redemption Islands.","Sopravvivere i vostri duelli e alla fine uno di voi avrà l'opportunità di re entrare in questo gioco e un altro colpo alle $100,000 Isole della Redenzione.","Survive your duels and eventually one of you will have the opportunity to King enter this game and another shot at the $100,000 Redemption Islands.",,
"For me, it's incredible.",Per me è incredibile.,It's unbelievable to me.,,
"It gives you another shot, you know, the chance to be able to actually earn your right back into the game.","Ti da' un'altra possibilita', sai... la possibilita' di riguadagnare il tuo diritto nel gioco.","It gives you another chance, you know, a chance to regain your right in the game.",,
"So, Shayna, how are you feeling after voting Hannah out last night?","Allora, Shayna, come ti senti dopo aver votato Hannah fuori ieri sera?","So, Shayna, how do you feel after you voted Hannah out last night?",,
I think we'd be a lot better off if we got her back.,Penso che staremmo molto meglio se la riportassimo indietro.,I think we'd be much better off if we brought her back.,,
"Whether she's keen to come back or not, I think a lot of us are feeling pretty stink about our decisions, so if we have the opportunity, we'll take it.","Che voglia tornare o no, penso che molti di noi stiano provando un po' di puzza per le nostre decisioni, quindi se ne abbiamo l'opportunità, la coglieremo.","Whether he wants to come back or not, I think most of us are smelling a little bit of our decisions, so if we have the opportunity, we'll take it.",,
Heartbeat.,Battito cardiaco.,Heart rate.,,
Words don't always mean everything.,Le parole non significano sempre tutto.,Words don't always mean everything.,,
"Hannah, who do you think behind your axing at Tribal Council?","Hannah, a chi pensi dietro la tua aggressione al Consiglio Tribale?","Hannah, who do you think behind your assault on the Tribal Council?",,
No comment.,No comment.,No comment.,,
"Dee, what's it like walking into this arena and facing everyone who voted you out last night?","Dee, com'e' entrare in quest'arena e affrontare tutti quelli che ti hanno respinto ieri sera?","Dee, what's it like getting into this arena and facing everyone who rejected you last night?",,
I think it's probably just as scary for them to face us as it is for us to face them.,Penso che sia spaventoso per loro affrontarci quanto lo è per noi affrontarli.,I think it's scary for them to face us as much as it is for us to face them.,,
"Well, your duel is about to start and something tells me this challenge is going to be a cracker.","Beh, il tuo duello sta per iniziare e qualcosa mi dice che questa sfida sara' un cracker.","Well, your duel is about to start, and something tells me this challenge is going to be a cracker.",,
"For today's duel, you're going to use ropes and sticks to make a long pole.","Per il duello di oggi, userai corde e bastoni per fare un palo lungo.","For today's duel, you'll use strings and sticks to make a long pole.",,
You're going to use that pole to retrieve three keys.,Userai quel palo per recuperare tre chiavi.,You're gonna use that pole to get three keys.,,
Those three keys open three locks.,Quelle tre chiavi aprono tre serrature.,Those three keys open three locks.,,
The first person through the door stays alive in this gap.,La prima persona attraverso la porta rimane viva in questo vuoto.,The first person through the door remains alive in this void.,,
Take your spots.,Prendete le vostre macchie.,Get your stains.,,
Let's get ready to start.,Prepariamoci ad iniziare.,Let's get started.,,
Survivors ready?,Sopravvissuti pronti?,Survivors ready?,,
Go.,Vai.,Go.,,
Hannah.,Hannah.,Hannah.,,
This challenge is on.,Questa sfida è in corso.,This challenge is in progress.,,
Dee with some interesting strategy.,Dee con una strategia interessante.,Dee with an interesting strategy.,,
While Hannah is just going for gold tying knots.,Mentre Hannah cerca solo nodi d'oro.,While Hannah's only looking for gold knots.,,
A lot of strategy involved in this challenge.,Un sacco di strategia coinvolta in questa sfida.,A lot of strategy involved in this challenge.,,
Hannah thinks her pole is long enough to get that first key.,Hannah pensa che il suo palo sia abbastanza lungo da avere la prima chiave.,Hannah thinks her pole is long enough to have the first key.,,
"Yep, yep, yep.","Si', si', si'.","Yeah, yeah, yeah.",,
Perfect.,Perfetto.,Perfect.,,
Perfect.,Perfetto.,Perfect.,,
"Nice, Hannah.","Brava, Hannah.","Good girl, Hannah.",,
Good lead.,Bella pista.,Nice lead.,,
Good lead.,Bella pista.,Nice lead.,,
Hannah secures her first key before Dee even has a knot tied.,Hannah assicura la sua prima chiave prima che Dee abbia un nodo legato.,Hannah secures her first key before Dee has a tie.,,
"Come on, Dee.","Andiamo, Dee.","Come on, Dee.",,
Just concentrate.,Concentrati.,Focus.,,
Dee making one long pole.,Dee che fa un palo lungo.,Dee making a long pole.,,
"If this strategy works, she could get three keys in quick succession.","Se questa strategia funziona, potrebbe ottenere tre chiavi in rapida successione.","If this strategy works, it could get three keys in rapid succession.",,
But she has to keep moving.,Ma deve continuare a muoversi.,But he has to keep moving.,,
Good.,Bene.,Good.,,
Hannah thinks she can get her second key.,Hannah pensa di poter avere la sua seconda chiave.,Hannah thinks she can get her second key.,,
Dee falling behind.,Dee rimane indietro.,Dee stays behind.,,
"Hannah's pole is long enough, but is it strong enough?","Il palo di Hannah e' abbastanza lungo, ma e' abbastanza forte?","Hannah's pole is long enough, but is it strong enough?",,
"Hannah with her second key, working on her third key.","Hannah con la sua seconda chiave, che lavora alla sua terza chiave.","Hannah with her second key, working on her third key.",,
"Finally, Dee making an attempt at her first key.",Finalmente Dee ha tentato la sua prima chiave.,Dee finally tried his first key.,,
"2, 1.","2, 1.","2, 1.",,
"And just like that, Dee is back in the game.",E cosi' Dee e' di nuovo in gioco.,So Dee's back in the game.,,
Hannah working on her second lock.,Hannah sta lavorando alla sua seconda serratura.,Hannah's working on her second lock.,,
You got this.,Ce la puoi fare.,You can do it.,,
"You got this, Hannah.","Puoi farcela, Hannah.","You can do this, Hannah.",,
"These locks are tricky, but Hannah's making it look easy.","Queste serrature sono complicate, ma Hannah lo sta facendo sembrare facile.","These locks are complicated, but Hannah's making it look easy.",,
All that work and Dee's pole was only long enough to retrieve her first key.,Tutto quel lavoro e il palo di Dee sono bastati per recuperare la sua prima chiave.,All that work and Dee's stake was enough to get his first key back.,,
Dee has to go back and add more bamboo.,Dee deve tornare indietro e aggiungere altro bambù.,Dee has to go back and add more bamboo.,,
Dee going back to try and get her second kick.,Dee che torna a cercare il suo secondo calcio.,Dee coming back for his second soccer.,,
Hannah furiously working on her time.,Hannah che lavora furiosamente al suo tempo.,Hannah working furiously at his time.,,
She's got it.,Ce l'ha lei.,She's got it.,,
D on her second key and we're all tied up.,D sulla sua seconda chiave e siamo tutti legati.,D on his second key and we're all tied up.,,
Hannah going for a third key.,Hannah vuole una terza chiave.,Hannah wants a third key.,,
Take it slow.,Vacci piano.,Take it easy.,,
Hannah can get this key.,Hannah puo' prendere questa chiave.,Hannah can take this key.,,
She can start working on her final lock.,Puo' iniziare a lavorare alla sua ultima serratura.,You can start working on your last lock.,,
"Remember, this is do or die.","Ricorda, questo e' fare o morire.","Remember, this is doing or dying.",,
Hannah's got her third key.,Hannah ha la sua terza chiave.,Hannah has her third key.,,
The knot tying has been granted.,Il nodo è stato concesso.,The node has been granted.,,
Good.,Bene.,Good.,,
De's got to work hard.,De deve lavorare sodo.,De has to work hard.,,
She's got to dig it in.,Deve scavare.,He's got to dig.,,
This could be it.,Potrebbe essere questo.,This could be it.,,
Hannah just has to get that third lock undone.,Hannah deve solo annullare la terza serratura.,Hannah just needs to unlock the third lock.,,
But her hands are shaking.,Ma le tremano le mani.,But her hands are shaking.,,
Hannah is through the door and lives to fight another day in this Hannah D.,Hannah è oltre la porta e vive per combattere un altro giorno in questo Hannah D.,Hannah is over the door and lives to fight another day in this Hannah D.,,
That was a great duel.,E' stato un bel duello.,It was a good duel.,,
Very different approaches.,Approcci molto diversi.,Very different approaches.,,
"Hannah, congratulations.","Hannah, congratulazioni.","Hannah, congratulations.",,
How you feeling right now?,Come ti senti adesso?,How are you feeling now?,,
"I feel pretty good, but it was awesome, too, to hear the team supporting you.","Mi sento piuttosto bene, ma e' stato fantastico anche sentire la squadra che ti sostiene.","I feel pretty good, but it was also great to hear the team support you.",,
"You know, a couple of times I was like.","Sai, un paio di volte ero tipo.","You know, I was like, a couple of times.",,
But I could hear them yelling my name.,Ma li sentivo urlare il mio nome.,But I heard them screaming my name.,,
"So I was like, just calm.",Quindi ero tipo... calmo.,So I was like... calm.,,
Think about what I'm doing.,Pensa a quello che sto facendo.,Think about what I'm doing.,,
"Dee, unfortunately, your shot at redemption and the $100,000 is over.","Dee, sfortunatamente, la tua possibilita' di redenzione e i 100.000 dollari sono finiti.","Dee, unfortunately, your chance of redemption and the $100,000 are over.",,
What's going through your mind?,Cosa ti passa per la testa?,What's on your mind?,,
One thing everyone didn't know is that survivor's my life.,Una cosa che tutti non sapevano e' che il sopravvissuto e' la mia vita.,One thing everyone didn't know is that the survivor is my life.,,
I've watched every episode of every season at least three times.,Ho visto ogni episodio di ogni stagione almeno tre volte.,I've seen every episode of every season at least three times.,,
I listen to podcasts for about 40 hours a week.,Ascolto i podcast per circa 40 ore a settimana.,I listen to podcasts for about 40 hours a week.,,
I've listened to about 600 hours of audiobooks.,Ho ascoltato circa 600 ore di audiolibri.,I listened to about 600 hours of audiobooks.,,
I follow every blogger.,Seguo ogni blogger.,I follow every blogger.,,
I'm Survivor super fan.,Sono Super fan di Survivor.,I'm Survivor's Super Fan.,,
My life has been a survivor fan.,La mia vita e' stata una fan dei sopravvissuti.,My life was a fan of survivors.,,
It's just not been a survivor.,E' solo che non e' stato un sopravvissuto.,It's just that he wasn't a survivor.,,
"Dee, you are the first person eliminated from Survivor New Zealand.","Dee, sei la prima persona eliminata dalla Nuova Zelanda.","Dee, you're the first person out of New Zealand.",,
"Toss your buff in the fire, say your goodbyes.","Getta il tuo buff nel fuoco, di' addio.","Throw your buff in the fire, say goodbye.",,
Your time in this game is over.,Il tuo tempo in questo gioco e' finito.,Your time in this game is over.,,
"Hannah, one deal down, many more to go.","Hannah, un affare fatto, molti altri ancora.","Hannah, a deal, a lot more.",,
"If you want to stay alive in this game, how do you feel about heading back to Redemption island alone tonight?","Se vuoi rimanere vivo in questo gioco, che ne pensi di tornare a Redemption Island da solo stasera?","If you want to stay alive in this game, how about going back to Redemption Island by yourself tonight?",,
I'll figure it out.,Trovero' una soluzione.,I'll figure it out.,,
There's some good stuff there I've got myself.,C'e' della roba buona li' che ho io.,There's some good stuff there that I have.,,
I can talk to myself.,Posso parlare da solo.,I can talk to myself.,,
Amen.,Amen.,Amen.,,
Has anyone got any sympathy for Hannah?,Qualcuno ha compassione per Hannah?,Does anyone have any sympathy for Hannah?,,
Sympathy?,Simpatia?,Sympathy?,,
I don't think she needs something.,Non credo abbia bisogno di qualcosa.,I don't think she needs anything.,,
